seller_state_,review_score_mean,ticket_medio,products_by_orders,dias_na_base,perc_atividade,inativo
21,3.6666666666666665,916.02,1.0,23,13.04,1
4,3.9742489270386265,243.89,1.21,524,28.24,0
21,4.086206896551724,48.91,1.16,211,19.91,1
5,5.0,139.38,1.0,1,100.0,1
21,4.12807881773399,182.87,1.32,462,26.84,1
21,3.6538461538461537,239.88,2.0,189,6.88,0
21,5.0,110.08,1.0,1,100.0,1
7,5.0,137.1,1.0,1,100.0,1
21,4.292553191489362,275.73,1.4,325,29.23,0
14,3.7375886524822692,274.39,1.38,134,32.09,0
21,4.5,723.98,1.0,30,6.67,1
21,1.0,5398.75,5.0,1,100.0,0
14,5.0,45.83,1.0,19,15.79,0
14,4.7407407407407405,115.62,1.17,406,5.42,1
7,3.625,601.69,1.14,525,2.67,0
14,3.8333333333333335,119.77,1.09,270,4.07,0
21,4.076923076923077,173.41,1.05,271,12.92,0
5,4.333333333333333,164.47,1.2,175,5.71,1
21,4.083333333333333,132.65,1.33,475,1.68,0
14,4.2727272727272725,220.12,1.53,395,11.9,1
21,5.0,306.74,1.0,97,5.15,1
21,4.3,104.76,1.29,131,18.32,0
14,4.383458646616542,141.21,1.05,482,22.61,0
14,4.306818181818181,179.09,1.11,325,47.69,0
21,4.2727272727272725,51.82,1.0,186,5.91,1
21,4.0,586.4,2.0,1,100.0,1
7,5.0,353.61,3.0,1,100.0,1
21,4.75,187.16,1.0,29,13.79,0
21,4.277777777777778,178.56,1.5,391,3.07,0
16,2.6875,600.62,1.14,461,2.82,0
7,3.588235294117647,184.05,1.31,183,6.01,0
21,4.56,373.53,1.19,430,4.88,0
14,4.833333333333333,148.8,1.0,281,9.61,0
21,4.545454545454546,163.81,1.02,120,30.0,0
21,3.8,988.21,1.0,114,4.39,1
19,4.444444444444445,30.03,1.12,134,5.97,0
21,3.5,278.92,1.0,3,66.67,1
21,4.444444444444445,23.95,1.0,120,7.5,0
21,4.0,2654.68,1.0,99,5.05,0
21,4.111111111111111,138.96,1.0,156,5.77,0
7,4.333333333333333,198.8,1.0,77,3.9,0
19,4.0,192.44,1.08,173,6.94,0
21,4.0,159.52,1.33,22,13.64,1
19,3.9456521739130435,673.27,1.0,272,22.06,0
21,4.576086956521739,124.52,1.12,482,15.35,0
21,5.0,91.76,1.67,13,23.08,0
18,5.0,2949.52,2.0,1,100.0,0
21,4.2745098039215685,206.25,1.04,536,9.33,0
21,3.5294117647058822,1316.11,1.55,309,3.56,1
15,4.533333333333333,182.35,1.0,474,3.16,0
21,4.2,105.51,1.32,233,6.87,1
18,5.0,314.32,1.0,1,100.0,0
21,3.5,129.79,1.0,110,7.27,1
7,4.484848484848485,69.31,1.15,457,15.54,0
19,5.0,729.65,1.0,1,100.0,1
21,3.2857142857142856,491.55,1.05,458,3.93,1
15,4.15625,216.17,1.02,266,20.68,0
21,5.0,361.66,1.83,41,14.63,1
19,5.0,292.17,1.0,48,8.33,0
15,3.5833333333333335,191.13,1.09,324,3.4,0
21,4.338461538461538,155.48,1.08,309,16.18,0
21,5.0,59.39,1.0,1,100.0,0
5,4.222222222222222,96.01,1.0,219,4.11,1
21,5.0,60.44,1.0,159,1.26,0
21,5.0,188.42,1.0,1,100.0,0
7,4.015384615384615,133.27,1.08,320,16.25,0
21,4.125,81.06,1.6,54,7.41,0
7,4.25,301.23,1.05,257,18.68,1
21,4.571428571428571,1675.01,1.17,189,3.17,1
18,4.190476190476191,463.3,1.12,575,9.39,0
21,5.0,78.54,1.0,87,2.3,0
18,4.049180327868853,197.63,1.13,228,20.61,1
14,4.625,1596.66,1.14,169,4.14,1
21,3.8028169014084505,135.99,1.16,374,14.97,0
14,4.0,181.03,1.12,568,10.92,0
14,4.068965517241379,237.69,1.23,277,15.88,0
21,4.0,51.43,1.0,82,4.88,0
6,4.01,133.11,1.05,216,61.57,0
7,4.631578947368421,119.33,1.12,297,5.72,0
14,4.366666666666666,466.26,1.15,144,14.58,0
18,3.926315789473684,281.14,1.08,485,16.7,0
11,4.111111111111111,164.25,1.12,509,1.57,0
21,3.75,211.75,1.45,358,8.38,0
21,3.575,592.02,2.5,565,2.65,0
21,4.8,100.8,1.25,12,33.33,0
15,3.727272727272727,47.87,1.1,138,7.25,1
21,4.285714285714286,422.53,2.33,65,4.62,1
21,4.666666666666667,105.4,1.5,277,1.44,0
7,2.727272727272727,788.66,2.2,71,7.04,0
21,4.8,428.6,2.0,46,8.7,0
21,3.5,270.98,2.0,1,100.0,1
21,3.25,211.54,1.33,477,3.56,0
21,2.5,379.8,1.0,63,3.17,1
21,4.363636363636363,104.19,1.22,200,4.5,0
21,4.0,37.43,1.0,169,1.18,0
7,4.538461538461538,68.6,1.07,400,24.25,0
21,4.614457831325301,215.64,1.06,339,20.35,0
21,4.6,45.56,1.25,237,1.69,1
21,4.454545454545454,66.33,1.0,188,6.38,0
7,4.125,768.81,2.0,178,2.25,1
21,3.3043478260869565,836.82,2.09,293,3.75,0
21,3.7777777777777777,91.6,1.5,66,9.09,1
21,4.237113402061856,205.27,1.31,255,25.49,0
21,3.1666666666666665,1260.8,1.0,100,6.0,0
21,4.266666666666667,153.87,1.11,249,10.44,0
21,4.416666666666667,155.2,1.0,185,4.86,1
21,2.7142857142857144,72.74,1.17,69,7.25,0
7,2.4285714285714284,2214.68,1.75,160,2.5,0
14,3.5384615384615383,71.9,1.08,368,3.26,0
7,5.0,605.57,1.0,1,100.0,0
21,4.428571428571429,98.79,1.31,298,5.37,1
21,4.666666666666667,174.28,1.0,53,5.66,0
18,3.5,722.18,1.0,96,2.08,1
21,5.0,140.04,2.0,1,100.0,1
21,3.814814814814815,114.71,1.23,153,14.38,1
21,4.1,111.7,1.05,118,14.41,0
21,4.857142857142857,82.9,1.0,33,21.21,0
21,4.0,82.52,1.0,209,1.91,1
21,3.0526315789473686,395.24,1.19,241,6.64,0
21,5.0,112.07,1.0,20,25.0,0
21,3.742424242424242,332.57,1.32,344,14.24,0
7,5.0,86.67,1.0,1,100.0,0
21,5.0,242.4,1.0,57,3.51,1
21,4.583333333333333,77.2,1.0,106,10.38,0
21,2.8181818181818183,723.22,2.75,119,3.36,0
21,4.333333333333333,159.78,1.15,364,3.3,0
15,5.0,260.79,1.0,79,7.59,1
21,4.0212765957446805,293.52,1.33,572,15.73,0
14,5.0,100.64,1.0,59,3.39,1
21,4.1,197.46,1.25,204,3.92,1
21,5.0,74.51,1.0,1,100.0,0
21,4.5,138.61,1.0,142,1.41,0
7,4.08695652173913,64.88,1.0,368,6.25,1
21,4.0,206.65,1.0,1,100.0,1
21,4.666666666666667,516.88,1.0,67,4.48,0
21,4.785714285714286,312.87,1.56,428,2.1,0
21,5.0,62.87,1.0,1,100.0,1
14,3.564102564102564,673.07,1.58,249,18.47,0
19,5.0,11745.0,15.0,1,100.0,1
21,3.6666666666666665,141.55,1.5,10,20.0,1
7,5.0,30.86,1.0,1,100.0,1
18,4.75,51.45,1.0,99,4.04,0
14,4.0327102803738315,319.05,1.32,297,34.01,0
21,4.215686274509804,90.17,1.12,477,24.32,0
21,5.0,33.16,1.0,1,100.0,1
21,4.633333333333334,102.97,1.03,505,5.35,0
21,3.9831460674157304,108.17,1.14,478,24.9,0
21,4.888888888888889,168.26,1.0,60,13.33,0
21,3.7540983606557377,363.64,1.64,514,7.0,0
15,3.6666666666666665,82.86,1.0,104,5.77,1
