,media_produtos_por_pedido,media_valor_pedido_sem_frete,dias_atividade,cluster
0,1.0,53.21,426,1
1,1.0,185.9,672,1
2,1.02,108.05,259,0
3,1.0,755.0,66,0
4,1.28,349.68,372,1
5,1.06,201.31,682,1
6,1.04,206.24,282,1
7,1.45,137.64,148,0
8,1.13,35.74,440,1
9,1.03,172.28,499,1
10,1.11,161.11,461,1
11,1.0,17.5,86,0
12,1.0,286.67,304,1
13,1.42,43.08,174,0
14,1.08,60.42,151,0
15,1.17,577.67,111,0
16,1.0,55.0,1,0
17,1.64,389.18,95,0
18,1.0,72.0,126,0
19,1.0,95.11,85,0
20,1.17,273.33,230,0
21,1.0,98.0,15,0
22,1.13,93.52,557,1
23,1.39,410.0,341,1
24,1.02,201.53,193,0
25,1.0,30.0,1,0
26,1.0,30.0,1,0
27,1.19,172.21,431,1
28,1.0,18.0,68,0
29,1.0,24.0,1,0
30,1.14,28.83,352,1
31,1.46,106.62,236,0
32,1.0,706.28,507,1
33,1.04,237.08,395,1
34,1.5,673.5,11,0
35,1.0,97.25,437,1
36,1.0,35.0,1,0
37,1.0,32.0,2,0
38,1.0,8.0,1,0
39,1.22,72.09,133,0
40,1.38,33.62,129,0
41,1.0,300.5,3,0
42,1.24,417.14,226,0
43,1.0,75.0,1,0
44,1.0,34.33,141,0
45,1.3,402.04,200,0
46,1.0,58.67,137,0
47,1.23,81.23,400,1
48,1.08,332.58,196,0
49,1.28,174.83,299,1
50,1.0,69.0,78,0
51,1.08,27.0,241,0
52,1.19,24.62,189,0
53,3.33,348.44,267,0
54,1.0,364.5,28,0
55,1.75,92.88,193,0
56,2.33,89.33,14,0
57,1.03,98.39,424,1
58,1.33,130.58,391,1
59,1.2,116.17,140,0
60,1.0,136.0,246,0
61,1.0,449.0,116,0
62,1.04,41.39,567,1
63,1.24,61.64,681,1
64,1.2,98.06,215,0
65,1.36,95.77,261,0
66,1.0,85.35,177,0
67,1.0,75.0,2,0
68,1.24,129.8,270,1
69,1.0,50.0,228,0
70,1.05,112.54,559,1
71,1.0,1358.0,68,2
72,1.0,63.0,1,0
73,1.0,82.0,15,0
74,1.0,30.0,90,0
75,1.0,126.25,15,0
76,1.1,151.8,42,0
77,1.08,86.67,99,0
78,1.0,600.0,1,0
79,1.0,583.4,106,0
80,1.09,121.45,686,1
81,1.0,127.47,211,0
82,1.0,53.87,199,0
83,1.03,127.22,684,1
84,1.16,108.61,129,0
85,1.71,348.47,387,1
86,1.0,173.12,291,1
87,1.0,83.71,66,0
88,1.0,39.0,1,0
89,1.2,39.4,137,0
90,1.0,130.0,244,0
91,1.0,3549.0,1,2
92,1.05,61.64,573,1
93,1.24,160.6,528,1
94,2.33,80.0,63,0
95,1.0,194.0,112,0
96,1.0,74.18,97,0
97,1.0,57.33,174,0
98,1.0,597.0,147,0
99,1.02,116.69,583,1
100,1.0,135.0,218,0
101,1.5,87.83,282,1
102,1.05,60.7,91,0
103,1.0,45.86,93,0
104,1.0,20.33,54,0
105,1.0,203.25,86,0
106,1.0,644.08,132,0
107,2.11,91.0,476,1
108,1.0,90.5,334,1
109,1.0,76.0,9,0
110,1.26,61.51,423,1
111,1.0,240.67,79,0
112,2.0,38.0,1,0
113,1.12,60.38,309,1
114,1.19,97.85,190,0
115,1.0,198.5,63,0
116,1.5,88.6,124,0
117,1.11,370.0,243,0
118,1.0,68.0,11,0
119,1.07,133.21,330,1
120,1.0,34.15,284,1
121,1.06,182.23,518,1
122,1.17,229.42,244,0
123,1.1,127.82,463,1
124,1.16,100.79,499,1
125,1.0,59.0,1,0
126,1.0,148.0,31,0
127,1.3,86.67,513,1
128,1.31,34.81,507,1
129,1.64,1279.09,100,2
130,1.0,133.0,117,0
131,1.24,42.13,381,1
132,1.12,52.91,220,0
133,1.17,162.33,234,0
134,1.0,60.0,37,0
135,1.0,146.14,107,0
136,1.0,35.0,1,0
137,1.0,102.33,314,1
138,1.0,70.0,1,0
139,1.0,259.0,96,0
140,1.0,59.8,63,0
141,1.14,1404.0,169,2
142,1.0,545.14,161,0
143,1.0,131.43,229,0
144,2.67,193.0,44,0
145,1.08,49.99,295,1
146,1.06,148.52,350,1
147,1.0,184.0,98,0
148,1.17,99.0,141,0
149,1.0,42.0,1,0
150,1.0,196.8,34,0
151,1.0,41.25,138,0
152,1.0,670.0,160,0
153,2.0,37.5,28,0
154,1.0,72.11,88,0
