,Unnamed: 0,seller_state_,review_score_mean,ticket_medio,products_by_orders,dias_na_base,perc_atividade,inativo,Label,Score
0,0,21,3.6666666666666665,916.02,1.0,23,13.04,1,1,0.6713
1,1,4,3.9742489270386265,243.89,1.21,524,28.24,0,0,0.9731
2,2,21,4.086206896551724,48.91,1.16,211,19.91,1,0,0.6622
3,3,5,5.0,139.38,1.0,1,100.0,1,1,0.7429
4,4,21,4.12807881773399,182.87,1.32,462,26.84,1,0,0.7489
5,5,21,3.6538461538461537,239.88,2.0,189,6.88,0,1,0.5504
6,6,21,5.0,110.08,1.0,1,100.0,1,1,0.6883
7,7,7,5.0,137.1,1.0,1,100.0,1,1,0.7429
8,8,21,4.292553191489362,275.73,1.4,325,29.23,0,0,0.6839
9,9,14,3.737588652482269,274.39,1.38,134,32.09,0,0,0.7442
10,10,21,4.5,723.98,1.0,30,6.67,1,1,0.5469
11,11,21,1.0,5398.75,5.0,1,100.0,0,0,0.6363
12,12,14,5.0,45.83,1.0,19,15.79,0,0,0.5654
13,13,14,4.7407407407407405,115.62,1.17,406,5.42,1,0,0.5452
14,14,7,3.625,601.69,1.14,525,2.67,0,0,0.983
15,15,14,3.8333333333333335,119.77,1.09,270,4.07,0,0,0.5396
16,16,21,4.076923076923077,173.41,1.05,271,12.92,0,0,0.7367
17,17,5,4.333333333333333,164.47,1.2,175,5.71,1,1,0.6002
18,18,21,4.083333333333333,132.65,1.33,475,1.68,0,0,0.7402
19,19,14,4.2727272727272725,220.12,1.53,395,11.9,1,0,0.6373
20,20,21,5.0,306.74,1.0,97,5.15,1,1,0.5295
21,21,21,4.3,104.76,1.29,131,18.32,0,0,0.6701
22,22,14,4.383458646616542,141.21,1.05,482,22.61,0,0,0.9247
23,23,14,4.306818181818181,179.09,1.11,325,47.69,0,0,0.8824
24,24,21,4.2727272727272725,51.82,1.0,186,5.91,1,0,0.5209
25,25,21,4.0,586.4,2.0,1,100.0,1,1,0.7272
26,26,7,5.0,353.61,3.0,1,100.0,1,1,0.7777
27,27,21,4.75,187.16,1.0,29,13.79,0,0,0.5972
28,28,21,4.277777777777778,178.56,1.5,391,3.07,0,1,0.506
29,29,16,2.6875,600.62,1.14,461,2.82,0,0,0.7507
30,30,7,3.588235294117647,184.05,1.31,183,6.01,0,1,0.5612
31,31,21,4.56,373.53,1.19,430,4.88,0,0,0.5438
32,32,14,4.833333333333333,148.8,1.0,281,9.61,0,0,0.7303
33,33,21,4.545454545454546,163.81,1.02,120,30.0,0,0,0.7893
34,34,21,3.8,988.21,1.0,114,4.39,1,0,0.5261
35,35,19,4.444444444444445,30.03,1.12,134,5.97,0,0,0.7306
36,36,21,3.5,278.92,1.0,3,66.67,1,1,0.7813
37,37,21,4.444444444444445,23.95,1.0,120,7.5,0,0,0.6635
38,38,21,4.0,2654.68,1.0,99,5.05,0,1,0.5647
39,39,21,4.111111111111111,138.96,1.0,156,5.77,0,0,0.5209
40,40,7,4.333333333333333,198.8,1.0,77,3.9,0,1,0.5061
41,41,19,4.0,192.44,1.08,173,6.94,0,0,0.5801
42,42,21,4.0,159.52,1.33,22,13.64,1,1,0.5723
43,43,19,3.945652173913044,673.27,1.0,272,22.06,0,0,0.7892
44,44,21,4.576086956521739,124.52,1.12,482,15.35,0,0,0.9277
45,45,21,5.0,91.76,1.67,13,23.08,0,0,0.5414
46,46,18,5.0,2949.52,2.0,1,100.0,0,1,0.6987
47,47,21,4.2745098039215685,206.25,1.04,536,9.33,0,0,0.9808
48,48,21,3.5294117647058822,1316.11,1.55,309,3.56,1,0,0.5113
49,49,15,4.533333333333333,182.35,1.0,474,3.16,0,0,0.852
50,50,21,4.2,105.51,1.32,233,6.87,1,1,0.5323
51,51,18,5.0,314.32,1.0,1,100.0,0,1,0.7124
52,52,21,3.5,129.79,1.0,110,7.27,1,1,0.6174
53,53,7,4.484848484848485,69.31,1.15,457,15.54,0,0,0.6267
54,54,19,5.0,729.65,1.0,1,100.0,1,1,0.6356
55,55,21,3.2857142857142856,491.55,1.05,458,3.93,1,1,0.532
56,56,15,4.15625,216.17,1.02,266,20.68,0,0,0.7871
