,id_vendedor,estado,dias_na_base,dias_atividade,datas_distintas_de_venda,%_de_atividade,vendas_por_dia_de_atividade,avaliacao_media,qtd_pedidos,qtd_produtos,media_produtos_por_pedido,receita_total,media_valor_pedido_sem_frete,media_valor_pedido_com_frete,media_valor_frete,prop_pedidos_atrasados,dias_sem_vender,tempo_de_postagem,target
0,c89cf7c468a48af70aada384e722f9e2,RJ,454,426,14,0.03,1.0,4.0,14,14,1.0,745.0,53.21,69.43,16.21,0.07,28,2,0
1,d50d79cb34e38265a8649c383dcffd48,SP,696,672,64,0.1,1.09,4.09,70,70,1.0,13013.0,185.9,213.53,27.63,0.07,24,4,0
2,ef990a83bbea832f36ebe81376335aa8,SC,281,259,32,0.12,1.34,4.0,43,44,1.02,4646.0,108.05,129.23,21.19,0.25,22,3,0
3,"""4c8545742faaf58fafd5fd14d25d75cf""",SP,173,66,4,0.06,1.0,2.5,4,4,1.0,3020.0,755.0,804.0,49.0,0.0,107,4,1
4,"""165fc07beebdcb6190fba8a06db2a449""",PR,392,372,47,0.13,1.06,3.5,50,64,1.28,17484.0,349.68,381.66,31.98,0.12,20,2,0
5,afa6714acee029b2dfdf357e5579cc03,SP,696,682,15,0.02,1.07,4.5,16,17,1.06,3221.0,201.31,225.31,24.0,0.12,14,2,0
6,ea566164622c6b439516ab18062c42cd,SP,296,282,44,0.16,1.14,3.68,50,52,1.04,10312.0,206.24,223.32,17.08,0.23,14,2,0
7,a23266650e7c84bb93fbbba502137478,RS,396,148,11,0.07,1.0,4.5,11,16,1.45,1514.0,137.64,163.09,25.45,0.0,248,4,1
8,"""10076e5788b8ee532724bcd460baf762""",SP,481,440,23,0.05,1.0,4.83,23,26,1.13,822.0,35.74,52.09,16.35,0.04,41,3,0
9,"""4bf2f4ee540798a61f9636d12cd9cc80""",SP,524,499,28,0.06,1.04,4.0,29,30,1.03,4996.0,172.28,189.83,17.55,0.03,25,3,0
10,de23c3b98a88888289c6f5cc1209054a,SP,486,461,118,0.26,1.36,4.47,161,178,1.11,25939.0,161.11,177.55,16.43,0.09,25,3,0
11,"""84deb808079d1be601c209c1e771b1cc""",PR,363,86,2,0.02,1.0,5.0,2,2,1.0,35.0,17.5,29.0,11.5,0.0,277,6,1
12,"""822bad9bc42b51213ba522fe87b7ab5d""",SC,390,304,16,0.05,1.12,4.5,18,18,1.0,5160.0,286.67,315.94,29.28,0.28,86,1,0
13,"""1d503743d2526f03f0c2c89540ee008c""",SP,222,174,12,0.07,1.0,4.8,12,17,1.42,517.0,43.08,59.75,16.67,0.06,48,2,0
14,"""6d22a1fcebb6dd08c9cd90b92a93e8d0""",SC,371,151,12,0.08,1.0,5.0,12,13,1.08,725.0,60.42,79.0,18.58,0.0,220,2,1
15,"""822b63912576852aea9a8436d72317b7""",SP,698,111,5,0.05,1.2,5.0,6,7,1.17,3466.0,577.67,602.5,24.83,0.0,587,-6,1
16,c7246702dc991a06d788120dc7544391,CE,195,1,1,1.0,1.0,2.5,1,1,1.0,55.0,55.0,73.0,18.0,0.0,194,6,1
17,"""9803a40e82e45418ab7fb84091af5231""",GO,108,95,11,0.12,1.0,4.0,11,18,1.64,4281.0,389.18,435.73,46.55,0.0,13,2,0
18,"""1e8c6a4c538f286aee9573239740a4b4""",SP,147,126,5,0.04,1.0,3.5,5,5,1.0,360.0,72.0,89.4,17.4,0.0,21,4,0
19,e8dba4d70f7f2b20e775d09cae01142d,SP,98,85,9,0.11,1.0,4.17,9,9,1.0,856.0,95.11,114.78,19.67,0.11,13,3,0
20,"""5b51032eddd242adc84c38acab88f23d""",MG,309,230,12,0.05,1.0,3.0,12,14,1.17,3280.0,273.33,295.83,22.5,0.0,79,3,0
21,"""8a87611c08849ffeeccab52aa798b6c7""",PR,585,15,5,0.33,1.2,4.75,6,6,1.0,588.0,98.0,116.83,18.83,0.0,570,-2,1
22,e067ad2c1c0b48758eb1b5228bcf7a68,SP,578,557,49,0.09,1.1,3.96,54,61,1.13,5050.0,93.52,112.15,18.63,0.08,21,2,0
23,d51e0a403fe2e689ece6c73359d96e12,SP,379,341,17,0.05,1.06,4.2,18,25,1.39,7380.0,410.0,446.0,36.0,0.08,38,7,0
24,"""7d13fca15225358621be4086e1eb0964""",SP,202,193,142,0.74,3.93,4.05,558,571,1.02,112456.0,201.53,216.76,15.23,0.12,9,2,0
25,a09a13f18ed27932d08438aa6f12756e,RS,311,1,1,1.0,1.0,2.5,1,1,1.0,30.0,30.0,46.0,16.0,0.0,310,4,1
26,"""436bf27f2f18474fc6047702e9f8a866""",SP,594,1,1,1.0,1.0,2.5,1,1,1.0,30.0,30.0,45.0,15.0,0.0,593,-1,1
27,e0a366315b1b726b6c7832d664c0f530,SP,448,431,39,0.09,1.1,3.95,43,51,1.19,7405.0,172.21,189.58,17.37,0.04,17,3,0
28,"""1d139e3a3b14025640d8df1b230aace0""",SP,356,68,2,0.03,1.0,3.5,2,2,1.0,36.0,18.0,35.5,17.5,0.0,288,4,1
29,"""43753b27d77860f1654aa72e251a7878""",BA,358,1,1,1.0,1.0,5.0,1,1,1.0,24.0,24.0,66.0,42.0,0.0,357,1,1
30,"""3c7c4a49ec3c6550809089c6a2ca9370""",SP,365,352,101,0.29,1.38,3.87,139,158,1.14,4007.0,28.83,41.76,12.93,0.08,13,4,0
31,d101c6da914ae3d53f7bee42283f2fe2,SP,697,236,12,0.05,1.08,4.27,13,19,1.46,1386.0,106.62,129.85,23.23,0.05,461,1,1
