,cluster,id_vendedor,estado,qtd_pedidos,dias_sem_vender,receita_total,dias_atividade,datas_distintas_de_venda,%_de_atividade,vendas_por_dia_de_atividade,avaliacao_media,qtd_produtos,media_produtos_por_pedido,media_valor_pedido_sem_frete,media_valor_pedido_com_frete,media_valor_frete,prop_pedidos_atrasados,tempo_de_postagem,Label,Score_0,Score_1
0,0,c89cf7c468a48af70aada384e722f9e2,RJ,14,28,745.0,426,14,0.03,1.0,4.0,14,1.0,53.21,69.43,16.21,0.07,2,0,0.7727,0.2273
1,0,d50d79cb34e38265a8649c383dcffd48,SP,70,24,13013.0,672,64,0.1,1.09,4.09,70,1.0,185.9,213.53,27.63,0.07,4,0,0.9634,0.0366
2,1,ef990a83bbea832f36ebe81376335aa8,SC,43,22,4646.0,259,32,0.12,1.34,4.0,44,1.02,108.05,129.23,21.19,0.25,3,0,0.8065,0.1935
3,1,"""4c8545742faaf58fafd5fd14d25d75cf""",SP,4,107,3020.0,66,4,0.06,1.0,2.5,4,1.0,755.0,804.0,49.0,0.0,4,1,0.373,0.627
4,0,"""165fc07beebdcb6190fba8a06db2a449""",PR,50,20,17484.0,372,47,0.13,1.06,3.5,64,1.28,349.68,381.66,31.98,0.12,2,0,0.8339,0.1661
5,0,afa6714acee029b2dfdf357e5579cc03,SP,16,14,3221.0,682,15,0.02,1.07,4.5,17,1.06,201.31,225.31,24.0,0.12,2,0,0.9542,0.0458
6,0,ea566164622c6b439516ab18062c42cd,SP,50,14,10312.0,282,44,0.16,1.14,3.68,52,1.04,206.24,223.32,17.08,0.23,2,0,0.806,0.194
7,1,a23266650e7c84bb93fbbba502137478,RS,11,248,1514.0,148,11,0.07,1.0,4.5,16,1.45,137.64,163.09,25.45,0.0,4,0,0.6975,0.3025
8,0,"""10076e5788b8ee532724bcd460baf762""",SP,23,41,822.0,440,23,0.05,1.0,4.83,26,1.13,35.74,52.09,16.35,0.04,3,0,0.7427,0.2573
9,0,"""4bf2f4ee540798a61f9636d12cd9cc80""",SP,29,25,4996.0,499,28,0.06,1.04,4.0,30,1.03,172.28,189.83,17.55,0.03,3,0,0.9274,0.0726
10,0,de23c3b98a88888289c6f5cc1209054a,SP,161,25,25939.0,461,118,0.26,1.36,4.47,178,1.11,161.11,177.55,16.43,0.09,3,0,0.9214,0.0786
11,1,"""84deb808079d1be601c209c1e771b1cc""",PR,2,277,35.0,86,2,0.02,1.0,5.0,2,1.0,17.5,29.0,11.5,0.0,6,1,0.171,0.829
12,0,"""822bad9bc42b51213ba522fe87b7ab5d""",SC,18,86,5160.0,304,16,0.05,1.12,4.5,18,1.0,286.67,315.94,29.28,0.28,1,0,0.6619,0.3381
13,1,"""1d503743d2526f03f0c2c89540ee008c""",SP,12,48,517.0,174,12,0.07,1.0,4.8,17,1.42,43.08,59.75,16.67,0.06,2,0,0.7694,0.2306
14,1,"""6d22a1fcebb6dd08c9cd90b92a93e8d0""",SC,12,220,725.0,151,12,0.08,1.0,5.0,13,1.08,60.42,79.0,18.58,0.0,2,0,0.7567,0.2433
